"","Team","complete_jurisdictions","empty_cells","flag_count","jurisdictions_over_70_pct_reviewed","pct_reviewed","jurisdictions_over_50_pct_confirmed","pct_confirmed"
"1","AUS","23/23",0,NA,"10/23",68.64,"11/23",63.26
"2","BRA","54/80",73772,5,"34/80",61.89,"48/80",57.1
"3","CAN","14/14",0,NA,"12/14",86.3,"14/14",79.27
"4","GBR","5/5",0,NA,"4/5",100,"5/5",100
"5","IND","37/37",0,8,"11/37",61.34,"24/37",52.04
"6","National","185/185",0,0,"67/185",62.63,"99/185",51.9
"7","USA","52/52",0,NA,"39/52",78.4,"46/52",73.72
"8","ITA","22/22",0,NA,"0/22",12.83,"0/22",0.01
"9","CHN","32/32",0,0,"31/32",99.89,"32/32",99.56
"10","EVERYTHING","424/450",73772,13,"208/450",65.92,"279/450",61.04
