"Country","Jurisdiction","Current date","Outdated coding in days (avg.)","Flagged days (total)","Forgotten boxes (total)","C1: School closing","C2: Workplace closing","C3: Cancel public events","C4: Restrictions on gatherings","C5: Close public transport","C6: Stay at home requirements","C7: Restrictions on internal movement","C8: International travel controls","E1: Income support","E2: Debt/contract relief","E3: Fiscal measures","E4: International support","H1: Public information campaigns","H2: Testing policy","H3: Contact tracing","H4: Emergency investment in healthcare","H5: Investment in vaccines","H6: Facial Coverings","H7: Vaccination policy","H8: Protection of elderly people","Missing days (avg.)"
"Afghanistan","National Government",2022-05-09,14,0,"0",2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2021-08-08,2021-08-08,2022-04-25,2022-04-25,2022-04-25,2021-08-08,2022-04-25,2022-04-25,2022-04-25,2022-04-25,14
"Albania","National Government",2022-05-09,5,0,"0",2022-05-04,2022-05-04,2022-05-04,2022-05-04,2022-05-04,2022-05-04,2022-05-04,2022-05-04,2022-05-04,2022-05-04,2021-08-13,2021-08-13,2022-05-04,2022-05-04,2022-05-04,2021-08-13,2022-03-14,2022-05-04,2022-05-04,2022-05-04,5
"Algeria","National Government",2022-05-09,14,0,"0",2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2022-04-25,2021-07-12,2021-07-12,2022-04-25,2022-04-25,2022-04-25,2021-07-12,2022-04-25,2022-04-25,2022-04-25,2022-04-25,14
"Andorra","National Government",2022-05-09,7,0,"0",2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2021-08-02,2021-08-02,2022-05-02,2022-05-02,2022-05-02,2021-08-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,7
"Angola","National Government",2022-05-09,7,1,"0",2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2022-05-02,2021-07-27,2021-07-27,2022-05-02,2022-05-02,2022-05-02,2021-07-27,2022-04-08,2022-05-02,2022-05-02,2022-05-02,7
"Argentina","National Government",2022-05-09,21,0,"0",2022-04-18,2022-04-18,2022-04-18,2022-04-18,2022-04-18,2022-04-18,2022-04-18,2022-04-18,2022-04-18,2022-04-18,2021-08-16,2021-08-16,2022-04-18,2022-04-18,2022-04-18,2021-08-16,2022-04-18,2022-04-18,2022-04-18,2022-04-18,21
"Aruba","National Government",2022-05-09,15,1,"0",2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2022-04-24,2021-08-03,2021-08-03,2022-04-24,2022-04-24,2022-04-24,2021-08-03,2022-04-24,2022-04-24,2022-04-24,2022-04-24,15
"Australia","Australian Capital Territory",2022-05-09,20,0,"145",2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2021-02-28,2021-02-28,2022-04-19,2022-04-19,2022-04-19,2021-02-28,2022-03-25,2022-04-19,2022-04-19,2022-04-19,29.0625
"Australia","Queensland",2022-05-09,20,0,"7",2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2022-04-19,2021-01-31,2021-01-31,2022-04-19,2022-04-19,2022-04-19,2021-01-31,2021-01-31,2022-04-19,2022-04-19,2022-04-19,20.4375
"Australia","Northern Territory",2022-05-09,19,0,"79",2022-04-20,2022-04-20,2022-04-20,2022-04-20,2022-04-20,2022-04-20,2022-04-20,2022-04-20,2022-04-20,2022-04-20,2021-04-16,2021-04-16,2022-04-20,2022-04-20,2022-04-20,2021-04-16,2021-04-16,2022-04-20,2022-04-20,2022-04-20,23.9375
"Australia","New South Wales",2022-05-09,12,0,"9",2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,2022-04-27,-Inf,-Inf,2022-04-27,2022-04-27,2022-04-27,2021-02-18,2022-03-07,2022-04-27,2022-04-27,2022-04-27,12.5625
