"","CountryName","CountryCode","Date","region","PolicyType","PolicyCode","previous_PolicyCode","Notes"
"1","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C1: School closing","0","0","Schools appear to be fully open across Aruba.    Links: https://archive.ph/JzDZs and https://archive.ph/aGQhu"
"2","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C2: Workplace closing","0","0","No workplace closing measures appear to be in place. However, there are restrictions on hours for certain businesses such as casinos (2am).    Link: https://archive.ph/JzDZs"
"3","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C3: Cancel public events","1G","1G","There are no bans on public events, and the gathering ban has been lifted, but there are size limitations on gatherings.    Link: https://archive.ph/JzDZs"
"4","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C4: Restrictions on gatherings","2G","2G","The gathering ban has been lifted but a maximum of 300 people are permitted to gather indoors and 500 people outdoors. Restaurants, bars, and rumshops still have restrictions on group size.    Link: https://archive.ph/JzDZs"
"5","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C5: Close public transport","0","0","There do not appear to be any measures for public transport beyond the mask recommendations and rules noting, ""The use of masks is obligatory inside all establishments"".    Link: https://archive.ph/JzDZs"
"6","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C6: Stay at home requirements","1G","0","Aruba is open as the gathering and area bans have been lifted. Recommendations remain in place.    Link: https://archive.ph/JzDZs"
"7","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C7: Restrictions on internal movement","0","0","There are no measures restricting internal movement.    Link: https://archive.ph/DOj4j"
"8","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","C8: International travel controls","1","1","According to the Visit Aruba government page, all visitors 12+ traveling to Aruba have three options for entry:  1. Either upload a digitally verifiable proof of vaccination (must include booster shot) prior to arrival in Aruba.  2. OR take one lab-certified COVID-19 Antigen test prior to arrival in Aruba.  3. OR take one lab-certified COVID-19 Molecular (e.g. PCR) test prior to arrival in Aruba    Link: https://archive.ph/HTLmX"
"9","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","E1: Income support","1G","1G","No new information identified but previous coding reference includes information extending into 2022 (previous archive link copied for reference).    Link: http://web.archive.org/web/20211026004343/https://www.government.aw/news/news_47033/item/tax-relief-plan-part-2-to-support-economic-recovery_54981.html"
"10","Aruba","ABW",2022-02-25,"Latin_America_Caribbean","E2: Debt/contract relief","0","0","No debt or contract relief identified."
