"","CountryName","CountryCode","Date","region","PolicyType","PolicyCode","previous_PolicyCode","Notes"
"1","Afghanistan","AFG",2021-10-18,"South_Asia","C1: School closing","0","0","1st October 2021: according to Reuters the new Taliban administration opened primary schools for boys and girls and secondary schools for boys. The Ministry of Education is not open schools for high school girls and women in universities. This comes as schools must face new dictates, such as the segregation of male and female students.    https://web.archive.org/web/20211023184220/https://www.reuters.com/world/asia-pacific/afghan-girls-stuck-home-waiting-taliban-plan-re-open-schools-2021-10-01/"
"2","Afghanistan","AFG",2021-10-18,"South_Asia","C2: Workplace closing","2T","2G","18th October 2021: According to garda world, Localized business and gathering controls are possible in areas with higher COVID-19 activity. Enforcement and compliance with the directives have been generally poor, particularly after the Taliban took over power in the country in mid-August.  Officials may impose heightened security measures in localities with increased COVID-19 activity.See link below:    https://web.archive.org/web/20211023193153/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
"3","Afghanistan","AFG",2021-10-18,"South_Asia","C3: Cancel public events","0","2G","no data available"
"4","Afghanistan","AFG",2021-10-24,"South_Asia","C3: Cancel public events","2T","0","18 October 2021: Localized business and gathering controls are possible in areas with higher COVID-19 activity.  https://web.archive.org/web/20211031154702/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
"5","Afghanistan","AFG",2021-10-18,"South_Asia","C4: Restrictions on gatherings","0","0","No information or evidence was found on restriction on gathering."
"6","Afghanistan","AFG",2021-10-24,"South_Asia","C4: Restrictions on gatherings","0","0","18 October 2021: Localized business and gathering controls are possible in areas with higher COVID-19 activity. No specific information about restrictions on gathering size are available.  https://web.archive.org/web/20211031154702/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
"7","Afghanistan","AFG",2021-10-18,"South_Asia","C5: Close public transport","2T","1G","18th October 2021: according to Garda World COVID-19-related restrictions remain in effect nationwide. Some transport disruptions are possible due to the protocols. Officials may impose heightened security measures in localities with increased COVID-19 activity.     https://web.archive.org/web/20211023193153/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
"8","Afghanistan","AFG",2021-10-18,"South_Asia","C6: Stay at home requirements","0","0","18th October 2021: according to Garda World COVID-19-related restrictions remain in effect nationwide but no data was found on stay at home requirement    https://web.archive.org/web/20211023193153/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
"9","Afghanistan","AFG",2021-10-18,"South_Asia","C7: Restrictions on internal movement","0","0","18th October 2021: according to Garda World COVID-19-related restrictions remain in effect nationwide but no data was found on internal movement    https://web.archive.org/web/20211023193153/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
"10","Afghanistan","AFG",2021-10-18,"South_Asia","C8: International travel controls","2","4","18th October 2021: according to Garda World Civilian authorities advise individuals arriving in Afghanistan with no symptoms to self-quarantine for 14 days and those displaying symptoms to contact the Ministry of Public Health; it is unclear if the policy remains in place under the Taliban.    https://web.archive.org/web/20211023193153/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
"11","Afghanistan","AFG",2021-10-18,"South_Asia","E1: Income support","0","0","No information or evidence was found on any income support provided by the government."
"12","Afghanistan","AFG",2021-10-18,"South_Asia","E2: Debt/contract relief","0","0","No information or evidence was found on any income support provided by the government."
"13","Afghanistan","AFG",2021-10-18,"South_Asia","H1: Public information campaigns","2G","0","according to MoD Afghanistan   COMMUNICATION MATERIALS TO PREVENT THE SPREAD OF THE NEW CORONA VIRUS  â¢	Posters  â¢	Flyers  â¢	Photos for Facebook  â¢	Brochures  â¢	Billboards  â¢	Signboards    https://web.archive.org/web/20211023202548/https://moph.gov.af/ps/node/1412"
"14","Afghanistan","AFG",2021-10-24,"South_Asia","H1: Public information campaigns","0","2G","The previous regime's online platform for the Ministry of Health remains online, however, information has not been updated since April 2021. There continues to be no COVID-19 related information released by the Taliban.  https://web.archive.org/web/20211031160259/https://moph.gov.af/en    https://web.archive.org/web/20210927222511/https://moph.gov.af/"
"15","Afghanistan","AFG",2021-10-18,"South_Asia","H2: Testing policy","0","1","no evidence of this found"
"16","Afghanistan","AFG",2021-10-18,"South_Asia","H3: Contact tracing","0","0","no evidence of this found"
"17","Afghanistan","AFG",2021-10-18,"South_Asia","H6: Facial Coverings","3G","3G","18th October 2021: according to Garda World COVID-19-related restrictions remain in effect nationwide. Individuals must stay at least 2 meters (6.5 feet) away from each other and wear protective face coverings in public. Enforcement and compliance with the directives have been generally poor, particularly after the Taliban took over power in the country mid-August.    https://web.archive.org/web/20211023193153/https://www.garda.com/crisis24/news-alerts/535386/afghanistan-covid-19-related-measures-remain-in-effect-nationwide-as-of-oct-18-update-20"
